"","Province.State","Country.Region","Lat","Long","datereported","cum_total_cases","new_cases","datereported_0","cum_total_deaths","new_deaths","cum_total_recovered","new_recovered"
"1","","Kenya",-0.0236,37.9062,"X1.22.20",0,0,"2020-01-22",0,0,0,0
"2","","Kenya",-0.0236,37.9062,"X1.23.20",0,0,"2020-01-23",0,0,0,0
"3","","Kenya",-0.0236,37.9062,"X1.24.20",0,0,"2020-01-24",0,0,0,0
"4","","Kenya",-0.0236,37.9062,"X1.25.20",0,0,"2020-01-25",0,0,0,0
"5","","Kenya",-0.0236,37.9062,"X1.26.20",0,0,"2020-01-26",0,0,0,0
"6","","Kenya",-0.0236,37.9062,"X1.27.20",0,0,"2020-01-27",0,0,0,0
"7","","Kenya",-0.0236,37.9062,"X1.28.20",0,0,"2020-01-28",0,0,0,0
"8","","Kenya",-0.0236,37.9062,"X1.29.20",0,0,"2020-01-29",0,0,0,0
"9","","Kenya",-0.0236,37.9062,"X1.30.20",0,0,"2020-01-30",0,0,0,0
"10","","Kenya",-0.0236,37.9062,"X1.31.20",0,0,"2020-01-31",0,0,0,0
"11","","Kenya",-0.0236,37.9062,"X2.1.20",0,0,"2020-02-01",0,0,0,0
"12","","Kenya",-0.0236,37.9062,"X2.2.20",0,0,"2020-02-02",0,0,0,0
"13","","Kenya",-0.0236,37.9062,"X2.3.20",0,0,"2020-02-03",0,0,0,0
"14","","Kenya",-0.0236,37.9062,"X2.4.20",0,0,"2020-02-04",0,0,0,0
"15","","Kenya",-0.0236,37.9062,"X2.5.20",0,0,"2020-02-05",0,0,0,0
"16","","Kenya",-0.0236,37.9062,"X2.6.20",0,0,"2020-02-06",0,0,0,0
"17","","Kenya",-0.0236,37.9062,"X2.7.20",0,0,"2020-02-07",0,0,0,0
"18","","Kenya",-0.0236,37.9062,"X2.8.20",0,0,"2020-02-08",0,0,0,0
"19","","Kenya",-0.0236,37.9062,"X2.9.20",0,0,"2020-02-09",0,0,0,0
"20","","Kenya",-0.0236,37.9062,"X2.10.20",0,0,"2020-02-10",0,0,0,0
"21","","Kenya",-0.0236,37.9062,"X2.11.20",0,0,"2020-02-11",0,0,0,0
"22","","Kenya",-0.0236,37.9062,"X2.12.20",0,0,"2020-02-12",0,0,0,0
"23","","Kenya",-0.0236,37.9062,"X2.13.20",0,0,"2020-02-13",0,0,0,0
"24","","Kenya",-0.0236,37.9062,"X2.14.20",0,0,"2020-02-14",0,0,0,0
"25","","Kenya",-0.0236,37.9062,"X2.15.20",0,0,"2020-02-15",0,0,0,0
"26","","Kenya",-0.0236,37.9062,"X2.16.20",0,0,"2020-02-16",0,0,0,0
"27","","Kenya",-0.0236,37.9062,"X2.17.20",0,0,"2020-02-17",0,0,0,0
"28","","Kenya",-0.0236,37.9062,"X2.18.20",0,0,"2020-02-18",0,0,0,0
"29","","Kenya",-0.0236,37.9062,"X2.19.20",0,0,"2020-02-19",0,0,0,0
"30","","Kenya",-0.0236,37.9062,"X2.20.20",0,0,"2020-02-20",0,0,0,0
"31","","Kenya",-0.0236,37.9062,"X2.21.20",0,0,"2020-02-21",0,0,0,0
"32","","Kenya",-0.0236,37.9062,"X2.22.20",0,0,"2020-02-22",0,0,0,0
"33","","Kenya",-0.0236,37.9062,"X2.23.20",0,0,"2020-02-23",0,0,0,0
"34","","Kenya",-0.0236,37.9062,"X2.24.20",0,0,"2020-02-24",0,0,0,0
"35","","Kenya",-0.0236,37.9062,"X2.25.20",0,0,"2020-02-25",0,0,0,0
"36","","Kenya",-0.0236,37.9062,"X2.26.20",0,0,"2020-02-26",0,0,0,0
"37","","Kenya",-0.0236,37.9062,"X2.27.20",0,0,"2020-02-27",0,0,0,0
"38","","Kenya",-0.0236,37.9062,"X2.28.20",0,0,"2020-02-28",0,0,0,0
"39","","Kenya",-0.0236,37.9062,"X2.29.20",0,0,"2020-02-29",0,0,0,0
"40","","Kenya",-0.0236,37.9062,"X3.1.20",0,0,"2020-03-01",0,0,0,0
"41","","Kenya",-0.0236,37.9062,"X3.2.20",0,0,"2020-03-02",0,0,0,0
"42","","Kenya",-0.0236,37.9062,"X3.3.20",0,0,"2020-03-03",0,0,0,0
"43","","Kenya",-0.0236,37.9062,"X3.4.20",0,0,"2020-03-04",0,0,0,0
